4,GE101,HISTORY COUSRE,HIST,901L,HISTORY COURSE
ENG,206,ENGLISH LIT COURSE,ENG,911L,ENG COURSE/LIT
ENG,207,RISE DEL ENG DRAM,ENG,320L,RISE DEL ENG DRAM
ENG,208,MODERN DRAMA,ENG,363L,MODERN DRAMA
ENG,209,WORKSHOP FICTION,ENG,382L,WORKSHOP FICTION
ENG,210,POETRY WORKSH,ENG,311L,POETRY WORKSH
ENG,211,COMM ELECTIVE,COM,801L,COMM ELECTIVE
ENG,212,Greek/Roman Lit Translation,ENG,270L,CLASSICS WEST LIT
ENG,213,ENG COURSE/LIT,ENG,912L,ENGLISH COURSE/LIT
ENG,214,CONT ENG-AM POET,ENG,342L,CONT ENG-AM POET
ENG,215,CONT ENG-AM POET,ENG,342L,CONT ENG-AM POET
ENG,216,AM SHORT FIC,ENG,240L,AM SHORT FIC
ENG,217,TECH-PROF WRITE,ENG,312L,TECH-PROF WRITE
ENG,218,ADVANCED WRITING,ENG,218L,ADVANCED WRITING
ENG,218L,ENGLISH ELECTIVE,ENG,801L,ENGLISH ELECTIVE
ENG,221,ENGLISH LIT COURSE,ENG,910L,ENGLISH LIT COURSE
ENG,223,ENGLISH LIT COURSE,ENG,911L,ENG COURSE/LIT
ENG,224,ENG COURSE/LIT,ENG,353L,ETHNIC AMER LIT
ENG,224L,ETHNIC AMER LIT,ENG,353L,ETHNIC AMER LIT
ENG,225,LITERATURE COURSE,ENG,913L,ENG COURSE LIT
ENG,226,COMM ELECTIVE,COM,802L,COMM ELECTIVE
ENG,227,FILM & LITERATURE,ENG,339L,FILM & LITERATURE
ENG,228,ENGLISH COURSE/LIT,ENG,912L,ENGLISH COURSE/LIT
ENG,229,ENGLISH COURSE/LIT,ENG,912L,ENGLISH COURSE/LIT
ENG,230,SHAKESPEARE,ENG,221L,THEMES SHAKESPEARE
ENG,230,SHAKESPEARE,ENG,325L,SHAKESPEARE
ENG,231,ENG COURSE/LIT,ENG,911L,ENG COURSE/LIT
ENG,233,ENG COURSE/LIT,ENG,911L,ENG COURSE/LIT
ENG,263,ENGLISH COURSE/LIT,ENG,912L,ENGLISH COURSE/LIT
ENG,264,ENGLISH LIT COURSE,ENG,910L,ENGLISH LIT COURSE
ENG,266,COMM ELECTIVE,COM,801L,COMM ELECTIVE
ENG,267,ENG COURSE/LIT,ENG,911L,ENG COURSE/LIT
ENG,268,ENG COURSE/LIT,ENG,911L,ENG COURSE/LIT
ENG,269,ENGLISH LIT COURSE,ENG,910L,ENGLISH LIT COURSE
ENG,273,ENGLISH COURSE/LIT,ENG,912L,ENGLISH COURSE/LIT
ENG,280,ENG COURSE LIT,ENG,911L,ENG COURSE/LIT
ENG,309,WORKSHOP FICTION,ENG,382L,WORKSHOP FICTION
ENG,902L,ENG COURSE/WRIT,ENG,902L,ENG COURSE/WRIT
ENG,906,ENG COURSE/LIT,ENG,911L,ENG COURSE/LIT
ENG,911,COMM COURSE,COM,901L,COMM COURSE
ENG,911L,COMM COURSE,COM,901L,COMM COURSE
ENR,100,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
ENR,101,GENERAL ELECTIVE,ELEC,801N,GENERAL ELECTIVE
ENR,101,GENERAL ELECTIVE,ELEC,804L,GENERAL ELECTIVE
ENR,101,GENERAL ELECTIVE,ELEC,801N,GENERAL ELECTIVE
ENR,101,GENERAL ELECTIVE,ELEC,804L,GENERAL ELECTIVE
ENR,102,GENERAL ELECTIVE,ELEC,802N,GENERAL ELECTIVE
ENR,103,GENERAL ELECTIVE,ELEC,803N,GENERAL ELECTIVE
ENR,106,GENERAL ELECTIVE,ELEC,803L,GENERAL ELECTIVE
ENR,201,GENERAL ELECTIVE,ELEC,804N,GENERAL ELECTIVE
ENR,202,GENERAL ELECTIVE,ELEC,804N,GENERAL ELECTIVE
ENR,209,GENERAL ELECTIVE,ELEC,805N,GENERAL ELECTIVE
ENR,215,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
ENR,903,GENERAL ELECTIVE,ELEC,803L,GENERAL ELECTIVE
ENT,101,GENERAL ELECTIVE,ELEC,801N,GENERAL ELECTIVE
ENT,102,ELECTIVE COURSE,ELEC,807N,ELECTIVE COURSE
ENT,103,GENERAL ELECTIVE,ELEC,802N,GENERAL ELECTIVE
ENT,104,GENERAL ELECTIVE,ELEC,801L,GENERAL ELECTIVE
ENT,105,GENERAL ELECTIVE,ELEC,802N,GENERAL ELECTIVE
ENT,1051,FINANCIAL ACCTNG,ACCT,203N,FINANCIAL ACCTNG
ENT,106,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
ENT,108,GENERAL ELECTIVE,ELEC,801N,GENERAL ELECTIVE
ENT,110,GENERAL ELECTIVE,ELEC,800N,GENERAL ELECTIVE
ENT,131,GENERAL ELECTIVE,ELEC,800N,GENERAL ELECTIVE
ENT,202,GENERAL ELECTIVE,ELEC,810N,GENERAL ELECTIVE
ENT,210,GENERAL ELECTIVE,ELEC,801N,GENERAL ELECTIVE
ENT,907,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
ESW,100,HEALTH ELECTIVE,HLTH,801L,HEALTH ELECTIVE
ESW,101,PHYS ED ELECTIVE,PHED,804N,PHYS ED ELECTIVE
ESW,201,HEALTH PROFESSION COURSE,HLTH,902L,HEALTH PROFESSIONS COURSE
ESW,202,PHYS ED ELECTIVE,PHED,803N,PHYS ED ELECTIVE
ESW,203,Personal Training Certificatio,PHED,802N,PHYS ED ELECTIVE
FASH,800N,FASHION ELECTIVE,FASH,805N,FASHION ELECTIVE
FASH,804,FASHION ELECTIVE,FASH,804N,FASHION ELECTIVE
FIN,2011,FINANCIAL MGMT,BUS,320N,FINANCIAL MGMT
FIN,203,FINANCIAL MGMT,BUS,320N,FINANCIAL MGMT
FRE,101,ELEM FREN I,FREN,101L,ELEM FREN I
FRE,102,ELEM FREN II,FREN,102L,ELEM FREN II
FRE,201,INTERM FREN I,FREN,105L,INTERM FREN I
FRE,202,INTERM FREN II,FREN,106L,INTERM FREN II
FRE,204,LANG & CULT I,FREN,201L,LANG & CULT I
FRE,205,LANG & CULT II,FREN,202L,LANG & CULT II
FRE,208,FRENCH ELECTIVE,FREN,801L,FRENCH ELECTIVE
FRE,271,FRENCH ELECTIVE,FREN,801L,FRENCH ELECTIVE
FRE,273,FREN LITERATURE,FREN,911L,FRENCH LIT COURSE
FRE,301,ADV READ-CONV I,FREN,312L,ADV READ-CONV I
FRE,302,ADV READ-CONV II,FREN,313L,ADV READ-CONV II
FRE,903,FRENCH COURSE,FREN,901L,FRENCH COURSE
GEO,10,SCIENCE COURSE,SCI,901L,SCIENCE COURSE
GEO,101,GEOGRAPHY COURSE,GEO,900L,GEOGRAPHY COURSE
GEO,102,GEOGRAPHY COURSE,GEO,901L,GEOGRAPHY COURSE
GER,101,ELEM GERMAN I,GERM,101L,ELEM GERMAN I
GER,102,ELEM GERMAN II,GERM,102L,ELEM GERMAN II
GER,201,INTERM GERMAN I,GERM,105L,INTERM GERMAN I
GER,202,INTERM GERMAN II,GERM,106L,INTERM GERMAN II
GER,301,GERM LANG/CULT I,GERM,201L,GERM LANG/CULT I
GERM,111,H,GERM,931L,GERM CULTURE COURSE
GERM,N201,INTERM GERMAN I,GERM,105L,INTERM GERMAN I
GIS,901,GEOGRAPHY COURSE,GEO,901L,GEOGRAPHY COURSE
GLG,110,ENVIR. SCI ELECTIVE,ENSC,800L,ENVIR. SCI ELECTIVE
GLG,121,SCIENCE COURSE,SCI,901L,SCIENCE COURSE
GLG,124,ENV SCI COURSE,ENSC,901L,ENV SCI COURSE
GLG,126,Environmental Geology,SCI,901L,SCIENCE COURSE
GLG,901,SCIENCE COURSE,SCI,901L,SCIENCE COURSE
GOB,263,POLITICAL SCIENCE COURSE,POSC,901L,POLITICAL SCIENCE COURSE
GOB,2632,POLITICAL SCIENCE COURSE,POSC,901L,POLITICAL SCIENCE COURSE
GOV,121,AMER NATL GOVT,POSC,110L,AMER NATL GOVT
GOV,122,AM STATE/URBAN PO,POSC,211L,AM STATE/URBAN PO
GOV,151,INTRO TO LAW,PRLG,101L,INTRO TO LAW
GOV,201,POLIT THOUGHT III,POSC,243L,POLIT THOUGHT III
GOV,211,POLITICAL SCI COURSE,POSC,900L,POLITICAL SCI COURSE
GOV,213,POLITICAL SCI COURSE,POSC,900L,POLITICAL SCI COURSE
GOV,219,INTERNAT POLITICS,POSC,273L,INTERNAT POLITICS
GOV,220,HISTORY COURSE,HIST,901L,HISTORY COURSE
GOV,221,COMP POL EST EURO,POSC,252L,COMP POL EST EURO
GOV,222,State & Local Government,POSC,901L,POLITICAL SCIENCE COURSE
GOV,223,POLITICAL SCIENCE COURSE,POSC,901L,POLITICAL SCIENCE COURSE
GOV,263,POLITICAL SCIENCE COURSE,POSC,901L,POLITICAL SCIENCE COURSE
GOV,264,Natl Mod UN II,POSC,902L,POLITICAL SCIENCE COURSE
GOV,273,POLITICAL SCIENCE COURSE,POSC,902L,POLITICAL SCIENCE COURSE
GOV,805,POLITICAL SCIENCE COURSE,POSC,901L,POLITICAL SCIENCE COURSE
GOV,807,POL SCIENCE ELECTIVE,POSC,801L,POL SCIENCE ELECTIVE
GOV,910,POLITICAL SCIENCE COURSE,POSC,901L,POLITICAL SCIENCE COURSE
GOVT,121,AMER NATL GOVT,POSC,110L,AMER NATL GOVT
GSS,100,General Studies Seminar,ELEC,801L,GENERAL ELECTIVE
HE,101,HISTORY COURSE,HIST,901L,HISTORY COURSE
HED,120,PHYS ED ELECTIVE,PHED,801L,PHYS ED ELECTIVE
HED,121,PHYS ED ELECTIVE,PHED,803N,PHYS ED ELECTIVE
HED,122,PHYS ED ELECTIVE,PHED,804N,PHYS ED ELECTIVE
HED,123,PHYS ED ELECTIVE,PHED,801L,PHYS ED ELECTIVE
HED,123L,CONTEMP HEALTH,PHED,101L,PHYSIO OF HEALTH
HED,124,PHYS ED ELECTIVE,PHED,801L,PHYS ED ELECTIVE
HED,125,PHYS ED ELECTIVE,PHED,802L,PHYS ED ELECTIVE
HED,131,PHYS ED ELECTIVE,PHED,803N,PHYS ED ELECTIVE
HED,133,PHYS ED ELECTIVE,PHED,801L,PHYS ED ELECTIVE
HED,134,FIRST AID/CPR,HLTH,202N,FIRST AID/CPR
HED,135,PHYS ED ELECTIVE,PHED,801N,PHYS ED ELECTIVE
HED,201,PHYS ED ELECTIVE,PHED,802L,PHYS ED ELECTIVE
HED,203,Health and Aging,ELEC,801L,GENERAL ELECTIVE
HED,224,PSYCHOLOGY COURSE,PSYC,905L,PSYCHOLOGY COURSE
HED,801,PHYS ED ELECTIVE,PHED,801L,PHYS ED ELECTIVE
HGE,101,HISTORY COURSE,HIST,901L,HISTORY COURSE
HGE,105,ECONOMICS COURSE,ECON,901L,ECONOMICS COURSE
HGH,101,HISTORY COURSE,HIST,901L,HISTORY COURSE
HIS,2,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
HIS,4,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
HIS,101,HISTORY COURSE,HIST,901L,HISTORY COURSE
HIS,102,THEMES IN MOD HIST,HIST,101L,THEMES IN MOD HIST
HIS,102L,HISTORY COURSE,HIST,901L,HISTORY COURSE
HIS,103,AMER HIST I,HIST,226L,AMER HIST I
HIS,104,AMER HIST II,HIST,227L,AMER HIST II
HIS,106,HISTORY COURSE,HIST,900L,HISTORY COURSE
HIS,107,HISTORY COURSE,HIST,902L,HISTORY COURSE
HIS,108,THEMES IN MOD HIST,HIST,101L,THEMES IN MOD HIST
HIS,114,AMER HIST II,HIST,227L,AMER HIST II
HIS,121,AMER NATNL GOVT,POSC,110L,AMER NATL GOVT
HIS,181,HISTORY COURSE,HIST,901L,HISTORY COURSE
HIS,182,HISTORY COURSE,HIST,904L,HISTORY COURSE
HIS,202,HISTORY COURSE,HIST,900L,HISTORY COURSE
HIS,206,HIST LATIN AM II,HIST,274L,HIST LATIN AM II
HIS,207,RUSSIA TO 1850,HIST,260L,RUSSIA TO 1850
HIS,209,BLACK AMER EXP,HIST,234L,BLACK AMER EXP
HIS,210,HISTORY COURSE,HIST,900L,HISTORY COURSE
HIS,214,AMERICAN FEMINISM,HIST,230L,AMERICAN FEMINISM
HIS,215,HISTORY COURSE,HIST,902L,HISTORY COURSE
HIS,216,HISTORY COURSE,HIST,902L,HISTORY COURSE
HIS,217,TRADITIONAL CHINA,HIST,270L,TRADITIONAL CHINA
HIS,220,HISTORY COURSE,HIST,907L,HIST COURSE
HIS,221,Medieval Europe 600-1500,HIST,248L,MEDIEVAL EUROPE
HIS,225,HISTORY COURSE,HIST,901L,HISTORY COURSE
HIS,273,AMER HIST II,HIST,227L,AMER HIST II
HIS,905,HISTORY COURSE,HIST,905L,HISTORY COURSE
HIS,906,HISTORY COURSE,HIST,900L,HISTORY COURSE
HIS,908,HISTORY COURSE,HIST,901L,HISTORY COURSE
HIS,910,HISTORY COURSE,HIST,901L,HISTORY COURSE
HIS,914,MODERN CHINA,HIST,271L,MODERN CHINA
HIST,104,AMER HIST II,HIST,227L,AMER HIST II
HIST,107,HISTORY COURSE,HIST,902L,HISTORY COURSE
HIST,108,THEMES IN MOD HIST,HIST,101L,THEMES IN MOD HIST
HLTH,202N,FIRST AID/CPR,HLTH,202N,FIRST AID/CPR
HMS,100,GENERAL ELECTIVE,SOC,801L,GENERAL ELECTIVE
HMS,100,GENERAL ELECTIVE,ELEC,801L,GENERAL ELECTIVE
HMS,100,GENERAL ELECTIVE,SOC,801L,GENERAL ELECTIVE
HMS,100,GENERAL ELECTIVE,ELEC,801L,GENERAL ELECTIVE
HMS,102,PSYCHOLOGY COURSE,PSYC,901L,PSYCHOLOGY COURSE
HMS,111,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
HMS,112,GENERAL ELECTIVE,ELEC,801L,GENERAL ELECTIVE
HMS,121,GENERAL ELECTIVE,ELEC,801L,GENERAL ELECTIVE
HMS,122,PSYCHOLOGY COURSE,PSYC,901L,PSYCHOLOGY COURSE
HMS,134,PSYC COURSE,PSYC,902L,PSYC COURSE
HMS,141,INTRO CRIM JUST,CRJU,101L,INTRO CRIM JUST
HMS,242,DRUG/ALCOHOL ABUS,CRJU,242L,DRUG/ALCOHOL ABUS
HMS,262,JUVENILE DELINQ,CRJU,223L,JUVENILE DELINQ
HMS,263,CRIM PROCEDR II,CRJU,304L,CRIM PROCEDR II
HMS,264,CRIM PROCEDURE I,CRJU,303L,CRIM PROCEDURE I
HMS,266,CRIM JUST COURSE,CRJU,902L,CRIM JUST COURSE
HTM,110,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
HTM,201,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
HTM,202,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
HTM,210,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
HTM,271,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
HTM,272,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
HTM,273,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
HTS,101,GENERAL ELECTIVE,ELEC,804L,GENERAL ELECTIVE
HUM,205,ART 100 LEV GEN,ART,902L,ART 100 LEV GEN
INT,10,SOCIOLOGY COURSE,SOC,901L,SOCIOLOGY COURSE
INT,801,ART COURSE,ART,901L,ART COURSE
IS,310,ARCH-HARD-SOFTWARE,IS,321L,ARCH-HARD-SOFTWAR
ITA,101,ELEM ITAL I,ITAL,101L,ELEM ITAL I
ITA,201,Interm. Italian  I,ITAL,105L,INTERM ITAL I
ITA,202,Interm Italian II,ITAL,106L,INTERM ITAL II
ITL,101,ELEM ITAL I,ITAL,101L,ELEM ITAL I
ITL,102,ELEM ITALIAN II,ITAL,102L,ELEM ITALIAN II
ITL,201,INTERM ITAL I,ITAL,105L,INTERM ITAL I
ITL,202,INTERM ITALIAN II,ITAL,106L,INTERM ITALIAN II
ITL,204,ADV ITALIAN I,ITAL,201L,ADV ITALIAN I
ITL,205,ADV ITALIAN II,ITAL,202L,ADV ITALIAN II
ITL,208,ITALIAN COURSE,ITAL,901L,ITALIAN COURSE
ITL,273,ITALIAN ELECTIVE,ITAL,801L,ITALIAN ELECTIVE
LAH,100,GENERAL ELECTIVE,ELEC,801L,GENERAL ELECTIVE
LAM,100,MATH ELECTIVE,MATH,801L,MATH ELECTIVE
LANG,911L,FOR LIT COURSE,LANG,911L,FOR LIT COURSE
LAT,100,EDUC ELECTIVE,EDUC,801L,EDUC ELECTIVE
LAT,200,EDUC ELECTIVE,EDUC,801L,EDUC ELECTIVE
LAT,201,EDUC ELECTIVE,EDUC,802L,EDUC ELECTIVE
LAW,212,BUSINESS LAW II,BUS,381N,BUSINESS LAW II
LAW,225,BUS COURSE,BUS,901N,BUS COURSE
LGLS,251,POLITICAL SCIENCE COURSE,POSC,901L,POLITICAL SCIENCE COURSE
LITL,102,ELEM ITALIAN II,ITAL,102L,ELEM ITALIAN II
LSS,100,GENERAL ELECTIVE,ELEC,801L,GENERAL ELECTIVE
LSS,101,STUDY SKILL ELECT,LERN,801L,STUDY SKILL ELECT
LSS,201,SOCIOLOGY ELECTIVE,SOC,801L,SOCIOLOGY ELECTIVE
MA,102,INTRO-STATS,MATH,130L,INTRO-STATISTICS
MAR,200,MARKET MANAGEMENT,BUS,340N,MARKET MANAGEMENT
MAR,203,BUSINESS COURSE,BUS,902N,BUSINESS COURSE
MAR,259,BUSINESS COURSE,BUS,903N,BUSINESS COURSE
MAT,91,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
MAT,100,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
MAT,101,EXCURS-CLASSICAL,MATH,110L,EXCURS-CLASSICAL
MAT,105,MATH COURSE,MATH,901L,MATH COURSE
MAT,107,MATH COURSE,MATH,901L,MATH COURSE
MAT,107,MATH COURSE,EDUC,241N,TEACH ELEM MATH
MAT,107,MATH COURSE,EDUC,241N,TEACH ELEM MATH
MAT,108,MATH COURSE,MATH,901L,MATH COURSE
MAT,109,EXCURSIONS IN MATH I,MATH,110L,EXCURSIONS IN MATH I
MAT,109L,EXCURS-CLASSICAL,MATH,110L,EXCURS-CLASSICAL
MAT,110,INTERM ALGEBRA,MATH,108L,INTERM ALGEBRA
MAT,115,PRE-CALCULUS,MATH,120L,PRE-CALCULUS
MAT,116,MATH COURSE,MATH,901L,MATH COURSE
MAT,117,MATH COURSE,MATH,903L,MATH COURSE
MAT,118,INTRO-STATISTICS,MATH,130L,INTRO-STATISTICS
MAT,125,CALC:MGMT APPLCTN,MATH,115L,CALC:MGMT APPLCTN
MAT,128,MATH COURSE,MATH,901L,MATH COURSE
MAT,129,MATH COURSE,MATH,902L,MATH COURSE
MAT,131,MATH COURSE,MATH,901L,MATH COURSE
MAT,132,MATH COURSE,MATH,902L,MATH COURSE
MAT,140,DISCRETE MATH I,MATH,250L,DISCRETE MATH I
MAT,184,INTERM ALGEBRA,MATH,108L,INTERM ALGEBRA
MAT,185,Precalculus,MATH,120L,PRE-CALCULUS
MAT,185,Precalculus,MATH,120L,PRE-CALCULUS
MAT,185,PRECALCULUS,MATH,120L,PRE-CALCULUS
MAT,185,PRECALCULUS,MATH,120L,PRE-CALCULUS
MAT,214,DISCRETE MATH I,MATH,250L,DISCRETE MATH I
MAT,215,LINEAR ALGERBRA,MATH,210L,LINEAR ALGEBRA
MAT,217,INT MATH REASON,MATH,310L,INT MATH REASON
MAT,221,CALC:MGMT APPLCTN,MATH,115L,CALC:MGMT APPLCTN
MAT,221,CALCULUS I,MATH,115L,CALC:MGMT APPLCTN
MAT,221,CALCULUS I,MATH,241L,CALCULUS I
MAT,221,CALC:MGMT APPLCTN,MATH,241L,CALCULUS I
MAT,222,CALCULUS II,MATH,242L,CALCULUS II
MAT,223,CALCULUS III,MATH,343L,CALC III
MAT,224,DIFFERENT EQUAT,MATH,321L,DIFFERENT EQUAT
MAT,273,MATH ELECTIVE,MATH,803L,MATH ELECTIVE
MAT,904,MATH COURSE,MATH,901L,MATH COURSE
MATH,100,MATH ELECTIVE,MATH,801L,MATH ELECTIVE
MATH,110,INTERM ALEGBRA,MATH,108L,INTERM ALGEBRA
MATH,118,INTRO-STATISTICS,MATH,130L,INTRO-STATISTICS
MATH,121,CALCULUS I,MATH,221L,CALCULUS I
MATH,122,CALCULUS II,MATH,242L,CALCULUS II
MATH,125L,CALC:MGMT APPLCTN,MATH,115L,CALC:MGMT APPLCTN
MATH,130,INTRO-STATISTICS,MATH,130L,INTRO-STATISTICS
MATH,131,MATH COURSE,MATH,901L,MATH COURSE
MATH,132,MATH COURSE,MATH,902L,MATH COURSE
MATH,222,CALCULUS II,MATH,222L,CALCULUS II
MATH,901L,MATH COURSE,MATH,901L,MATH COURSE
MGT,205,MANAG ORG BEHAV,BUS,101N,MANAG ORG BEHAV
MLT,5,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
MLT,101,MED TECH ELECTIVE,MEDT,801N,MED TECH ELECTIVE
MLT,105,MED TECH ELECTIVE,MEDT,802N,MED TECH ELECTIVE
MLT,106,MED TECH ELECTIVE,MEDT,803N,MED TECH ELECTIVE
MLT,202,PARASITOLOGY,BIOL,421L,PARASITOLOGY
MLT,203,MED TECH ELECTIVE,MEDT,804N,MED TECH ELECTIVE
MLT,204,MED TECH ELECTIVE,MEDT,805N,MED TECH ELECTIVE
MLT,207,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
MLT,208,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
MSO,102,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
MTH,122,MATH ELECTIVE,MATH,802L,MATH ELECTIVE
MUS,10,MUSIC COURSE,MUS,901L,MUSIC COURSE
MUS,101,MUSIC COURSE,MUS,901L,MUSIC COURSE
MUS,104,INTRO MUSIC THEORY,MUS,120L,THEORY OF MUSIC I
MUS,115,THEORY OF MUSIC I,MUS,120L,THEORY OF MUSIC I
MUS,116,THRY OF MUSIC II,MUS,220L,THRY OF MUSIC II
MUS,117,BRASS WIND ENSEMB,MUS,231N,BRASS WIND ENSEMB
MUS,118,MUSIC ELECTIVE,MUS,801N,MUSIC ELECTIVE
MUS,121,CHORAL SINGING I,MUS,110N,CHORAL SINGING I
MUS,122,CHORAL SINGING II,MUS,111N,CHORAL SINGING II
MUS,131,MUSIC ELECTIVE,MUS,800N,MUSIC ELECTIVE
MUS,132,MUSIC COURSE,MUS,901N,MUSIC COURSE
MUS,133,MUSIC ELECTIVE,MUS,800N,MUSIC ELECTIVE
MUS,134,MUSIC ELECTIVE,MUS,800N,MUSIC ELECTIVE
MUS,135,JAZZ AND SOUND,MUS,106L,JAZZ AND SOUND
MUS,136,ORCHESTRA,MUS,234N,ORCHESTRA
MUS,137,ORCHESTRA,MUS,234N,ORCHESTRA
MUS,141,BG CLSS PIANO I,MUS,107N,BG PIANO I
MUS,142,PIANO II,MUS,108N,BG PIANO II
MUS,143,MUSIC COURSE,MUS,901N,MUSIC COURSE
MUS,144,MUSIC COURSE,MUS,901N,MUSIC COURSE
MUS,151,MUSIC ELECTIVE,MUS,800N,MUSIC ELECTIVE
MUS,152,MUSIC ELECTIVE,MUS,800N,MUSIC ELECTIVE
MUS,161,MUSIC ELECTIVE,MUS,800N,MUSIC ELECTIVE
MUS,162,MUSIC ELECTIVE,MUS,800N,MUSIC ELECTIVE
MUS,201,MATH COURSE,MUS,901L,MUSIC COURSE
MUS,202,MUSIC COURSE,MUS,901L,MUSIC COURSE
MUS,210,VOICE STUDY II,MUS,213N,VOICE STUDY II
MUS,211,IND VOCAL STUDY,MUS,351L,IND VOCAL STUDY
MUS,212,MUSIC COURSE,MUS,902L,MUSIC COURSE
MUS,219,MUSIC ELECTIVE,MUS,801L,MUSIC ELECTIVE
MUS,221,CHORAL SING III,MUS,301N,CHORAL SING III
MUS,222,MUSIC COURSE,MUS,901N,MUSIC COURSE
MUS,237,MUSIC ELECTIVE,MUS,801L,MUSIC ELECTIVE
MUS,240,MUSIC COURSE,MUS,901L,MUSIC COURSE
MUS,241,ADV CLASS PIANO,MUS,410N,ADV CLASS PIANO
MUS,243,MUSIC COURSE,MUS,903N,MUSIC COURSE
MUS,261,MUSIC ELECTIVE,MUS,803N,MUSIC ELECTIVE
MUS,273,MUSIC ELECTIVE,MUS,801N,MUSIC ELECTIVE
MUS,800N,MUSIC ELECTIVE,MUS,800N,MUSIC ELECTIVE
MUS,801N,MUSIC ELECTIVE,MUS,801N,MUSIC ELECTIVE
MUS,803N,MUSIC ELECTIVE,MUS,803N,MUSIC ELECTIVE
MUS,904N,Aural Skills I,MUS,905N,MUSIC COURSE
MUS,916,MUSIC COURSE,MUS,900N,MUSIC COURSE
NED,103,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
NU,RSING,GENERAL ELECTIVE,ELEC,802L,GENERAL ELECTIVE
NUR,99,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
NUR,100,GENERAL ELECTIVE,ELEC,801L,GENERAL ELECTIVE
NUR,105,GENERAL ELECTIVE,ELEC,801L,GENERAL ELECTIVE
NUR,107,GENERAL ELECTIVE,ELEC,802L,GENERAL ELECTIVE
NUR,111,GENERAL ELECTIVE,ELEC,804N,GENERAL ELECTIVE
NUR,112,GENERAL ELECTIVE,ELEC,805N,GENERAL ELECTIVE
NUR,204,GENERAL ELECTIVE,ELEC,802L,GENERAL ELECTIVE
NUR,213,GENERAL ELECTIVE,ELEC,806N,GENERAL ELECTIVE
NUR,215,GENERAL ELECTIVE,ELEC,807N,ELECTIVE COURSE
NUR,216,GENERAL ELECTIVE,ELEC,801N,GENERAL ELECTIVE
NUR,218,GENERAL ELECTIVE,ELEC,802N,GENERAL ELECTIVE
NUR,271,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
NUR,272,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
NUR,273,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
NUR,280,GENERAL ELECTIVE,ELEC,803N,GENERAL ELECTIVE
OFT,100,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
OFT,101,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
OFT,102,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
OFT,108,WORD PROCESSING,CSIS,151L,WORDPROCESSING
OFT,109,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
OFT,130,IS ELECTIVE,IS,801L,IS ELECTIVE
OFT,150,COMPUTER STUDIES ELEC,CSIS,802L,COMPUTER STUDIES ELEC
OFT,202,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
OFT,215,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
OFT,230,GENERAL ELECTIVE,ELEC,801L,GENERAL ELECTIVE
OFT,231,WORDPROCESSING,CSIS,151L,WORDPROCESSING
OFT,232,EXCEL,CSIS,152L,EXCEL
OFT,240,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
PAL,100,PARALEGAL ELECTIVE,PRLG,801L,PARALEGAL ELECTIVE
PAL,110,PARALEGAL ELECTIVE,PRLG,802L,PARALEGAL ELECTIVE
